question,answer
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_IAD02LA039],___Unknown___AirframeTotalTime
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_MIA04CA055],Class 2 Valid Medical--w/ waivers/lim.
Who is the registered owner of the registered aircraft involved in [AccidentNumber_MIA03CA063],James S. Little
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_ATL05CA095],Continental
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_ANC04LA050],FlightInstructor;Commercial
What could have contributed to the cause of the accident [AccidentNumber_ANC08LA023],UNKNOWN|PILOT_IN_COMMAND
Who is the registered owner of the registered aircraft involved in [AccidentNumber_FTW02LA228],Go Helicopters
What could have contributed to the cause of the accident [AccidentNumber_BFO88LA044B],OTHERPERSON|OTHER
When was the last inspection of the registered aircraft involved in [AccidentNumber_IAD04LA027],Annual
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_IAD02FA047],Beech
What is the aircraft category of the registered aircraft involved in [AccidentNumber_MIA05LA036],Airplane
What is the landing gear type of the registered aircraft involved in [AccidentNumber_FTW03LA143],Tailwheel
Who is the registered owner of the registered aircraft involved in [AccidentNumber_LAX04LA254],Westcore Aviation Inc
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_FTW01LA105],3983 Hours at time of accident
What could have contributed to the cause of the accident [AccidentNumber_LAX87LA001],UNQUALIFIEDPERSON|COPILOT/SECOND_PILOT|PILOT_IN_COMMAND
What could have contributed to the cause of the accident [AccidentNumber_GAA16CA004],STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND
What is the operator of the registered aircraft involved in [AccidentNumber_ATL04CA108],Robert Langley
What could have contributed to the cause of the accident [AccidentNumber_DEN06LA016],OTHERPERSON|OTHER
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_ANC04LA050],Cessna
What could have contributed to the cause of the accident [AccidentNumber_WPR11LA362],COMPANY_MAINTENANCE_PERSONNEL|OWNER/BUILDER|Failure|Incorrectuse/operation|Malfunction|Incorrectservice/maintenance|Fatigue/wear/corrosion
What could have contributed to the cause of the accident [AccidentNumber_NYC04CA022],OTHERPERSON|OTHER
What is the aircraft model of the registered aircraft involved in [AccidentNumber_CHI02LA045],PA-28-161
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_IAD05LA029],Normal
What is the operator of the registered aircraft involved in [AccidentNumber_LAX03LA122],PIERCE AVIATION
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_CHI03LA158],Cessna
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_DEN01LA080],Fox
What is the operating certificate held by the registered aircraft involved in [AccidentNumber_ATL03LA124],Flag carrier (121)
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_CHI03FA238B],___Unknown___AirframeTotalTime
What is the operator of the registered aircraft involved in [AccidentNumber_SEA04LA178],John Frank Schmidt III
Who is the registered owner of the registered aircraft involved in [AccidentNumber_NYC03LA078],William E. Taylor
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_FTW01LA067],"Installed, not activated"
What is the aircraft category of the registered aircraft involved in [AccidentNumber_NYC05FA054],Airplane
What was the instructor rating of the pilot in the aircraft involved in [AccidentNumber_ATL01LA046],Airplane Multi-engine; Instrument Airplane
What could have contributed to the cause of the accident [AccidentNumber_DEN89MA130],PILOT_IN_COMMAND|PILOT_IN_COMMAND|PILOT_OF_OTHER_AIRCRAFT|COPILOT/SECOND_PILOT|PILOT_IN_COMMAND|COMPANY/OPERATOR_MANAGEMENT|PILOT_IN_COMMAND|OTHER
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_ATL03LA124],Multi-engineLand
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_CHI03FA003],Lycoming
What is the landing gear type of the registered aircraft involved in [AccidentNumber_CHI02LA115],Retractable-Tricycle
When was the last inspection of the registered aircraft involved in [AccidentNumber_LAX01LA083],100 Hour
What is the serial number of the registered aircraft involved in [AccidentNumber_ANC05CA054],18-6469
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_CHI03LA032],Multi-engineLand;Single-engineLand
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_FTW03FA055],Cessna
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_CHI05LA050],Private
What could have contributed to the cause of the accident [AccidentNumber_DEN88LA196],OTHERPERSON|OTHER|OTHER
What could have contributed to the cause of the accident [AccidentNumber_GAA18CA149],PILOT_IN_COMMAND|Response/compensation|EffectOnOperation|NotSpecified|AwarenessOfCondition|ContributedToOutcome|EffectOnPersonnel|InadequateInspection|FluidType|Notserviced/maintained|FluidManagement|FluidLevel|FluidCondition|NotSpecified|NotInspected
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_CHI04FA133],"Installed, not activated"
When was the last inspection of the registered aircraft involved in [AccidentNumber_MIA04CA055],Annual
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_NYC04FA100],Class 3 Expired
When was the last inspection of the registered aircraft involved in [AccidentNumber_FTW01LA067],Continuous Airworthiness
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_LAX03LA122],PrattAndWhitney
What could have contributed to the cause of the accident [AccidentNumber_FTW02LA110],OTHERPERSON|OTHER|CHECK_PILOT|OTHERPERSON|PILOT_IN_COMMAND|OTHER
Who is the registered owner of the registered aircraft involved in [AccidentNumber_ATL04LA001],Glen & Rock Readdick
What is the landing gear type of the registered aircraft involved in [AccidentNumber_FTW03FA027],Retractable-Tricycle
What is the aircraft category of the registered aircraft involved in [AccidentNumber_CHI05CA085],Airplane
What is the engine type of the registered aircraft involved in [AccidentNumber_ATL03FA052],1Reciprocating
When was the last inspection of the registered aircraft involved in [AccidentNumber_LAX02LA074],Annual
What is the operator of the registered aircraft involved in [AccidentNumber_ATL04LA044],James R. Cowart
What was the instructor rating of the pilot in the aircraft involved in [AccidentNumber_FTW02FA028],Helicopter; Instrument Helicopter
What could have contributed to the cause of the accident [AccidentNumber_ANC09CA027],NotSpecified|ContributedToOutcome|FLIGHTCREW|COMPANY_MAINTENANCE_PERSONNEL|INSTRUCTOR/CHECK_PILOT|_UNKNOWN_PERSON|PILOT_IN_COMMAND|STUDENT_PILOT|PILOT_OF_OTHER_AIRCRAFT
What is the aircraft model of the registered aircraft involved in [AccidentNumber_FTW04LA031],310-H
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_LAX03LA103],Piper
What could have contributed to the cause of the accident [AccidentNumber_ANC86FA118B],PILOT_IN_COMMAND|PILOT_OF_OTHER_AIRCRAFT|OTHERPERSON|OTHER
What is the engine type of the registered aircraft involved in [AccidentNumber_MIA02LA057],1Reciprocating
What is the operator of the registered aircraft involved in [AccidentNumber_DEN03LA119],Ohio Knox III
What is the engine type of the registered aircraft involved in [AccidentNumber_FTW02LA135],1Reciprocating
What is the operating certificate held by the registered aircraft involved in [AccidentNumber_ANC04LA018],Commuter Air Carrier
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_ANC05FA090],AirlineTransport;FlightInstructor
What could have contributed to the cause of the accident [AccidentNumber_IAD97LA071],OTHER
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_CHI05LA086],Normal
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_SEA02LA001],Normal;Utility
What is the aircraft category of the registered aircraft involved in [AccidentNumber_SEA03LA035],Airplane
What is the engine model of the registered aircraft involved in [AccidentNumber_NYC04LA063],CT7-5A2
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_SEA02LA046],Continental
What is the engine model of the registered aircraft involved in [AccidentNumber_SEA04LA097],O-320-E3D
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_MIA02LA077],Continental
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_ATL01LA101],Single-engineLand
What could have contributed to the cause of the accident [AccidentNumber_ANC08LA047],FLIGHTCREW|COMPANY_MAINTENANCE_PERSONNEL|INSTRUCTOR/CHECK_PILOT|_UNKNOWN_PERSON|PILOT_IN_COMMAND|STUDENT_PILOT|PILOT_OF_OTHER_AIRCRAFT|ContributedToOutcome
What could have contributed to the cause of the accident [AccidentNumber_SEA83LA003],OTHER
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_NYC04LA041],Class 3 Valid Medical--no waivers/lim.
What could have contributed to the cause of the accident [AccidentNumber_DFW07CA126],OTHER|UNKNOWN|PILOT_IN_COMMAND
When was the last inspection of the registered aircraft involved in [AccidentNumber_DEN03LA062],Annual
What is the aircraft model of the registered aircraft involved in [AccidentNumber_MIA03LA089],M20C
What could have contributed to the cause of the accident [AccidentNumber_ERA14LA085],InadequateInspection|FluidType|Notserviced/maintained|FluidManagement|FluidLevel|FluidCondition|NotSpecified|NotInspected
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_CHI05CA060],"Installed, not activated"
